symbol	probe_id
CNPY3	1552977_a_at
SCAMP1	1552978_a_at
LINC00471	1552979_at
HAS3	1552980_at
FGF4	1552982_a_at
SLC30A8	1552985_at
LOC142937	1552986_at
MGC42157	1552987_a_at
C11orf65	1552988_at
FAM71E2	1552990_at
OR5P2	1552991_at
DYDC1	1552993_at
IL27	1552995_at
IQCF1	1552997_a_at
DEFB125	1552998_at
WFDC10B	1552999_a_at
PKHD1	1553003_at
PKD1L1	1553004_at
GPR112	1553006_at
ODZ1	1553007_a_at
REXO1L1	1553009_s_at
TAF1L	1553011_at
CNTNAP5	1553013_at
RECQL4	1553015_a_at
GPR113	1553016_at
TMC2	1553019_at
SMCR5	1553020_at
BICD2	1553021_s_at
ZIM3	1553022_at
NOX5	1553023_a_at
DAOA-AS1	1553024_at
GPR126	1553025_at
KLHL4	1553027_a_at
GPR156	1553028_at
SUOX	1553030_a_at
GPR115	1553031_at
IL31RA	1553032_at
SYTL5	1553033_at
SDCCAG8	1553034_at
GPR111	1553036_at
SYN2	1553037_a_at
ASB10	1553039_a_at
HTR3C	1553041_at
NFKBID	1553042_a_at
CD300LF	1553043_a_at
GJA10	1553044_at
WNT9A	1553045_at
GAL3ST2	1553046_s_at
PIP4K2B	1553047_at
ODF3	1553051_s_at
WFDC13	1553052_at
LINC00521	1553053_at
SLFN5	1553055_a_at
SERPINB12	1553057_at
GIPC3	1553058_at
PGLYRP3	1553059_at
PSKH2	1553060_at
OR6W1P	1553061_at
MOGAT1	1553062_at
GPR78	1553063_at
H1FOO	1553064_at
TAAR9	1553066_at
GNRHR2	1553067_a_at
BRWD1-IT2	1553069_at
MYOZ3	1553070_a_at
BNIPL	1553072_at
ASB11	1553074_at
OFCC1	1553075_a_at
SDR9C7	1553077_at
OR5P3	1553078_at
TRIM40	1553079_at
CSN1S2AP	1553080_at
WFDC12	1553081_at
CRYGN	1553082_at
STARD6	1553084_at
C11orf40	1553086_at
C18orf12	1553087_at
BCL2L11	1553088_a_at
WFDC2	1553089_a_at
DEFB119	1553093_a_at
TAC4	1553094_at
BCL2L11	1553096_s_at
TIGD1	1553099_at
ALKBH5	1553101_a_at
CCDC69	1553102_a_at
NFX1	1553103_at
DSG2	1553105_s_at
C5orf24	1553106_at
KBTBD6	1553111_a_at
CDK8	1553112_s_at
PTK6	1553114_a_at
NKD1	1553115_at
STK38	1553117_a_at
THEM4	1553118_at
CLSPN	1553120_at
RBAK	1553122_s_at
WDR62	1553123_at
SLC39A12	1553126_a_at
RNF168	1553127_a_at
SVEP1	1553129_at
LOC652276	1553130_at
GATA4	1553131_a_at
TC2N	1553132_a_at
C9orf72	1553133_at
KCTD18	1553136_at
KLF11	1553137_s_at
ANKLE1	1553138_a_at
PLXNA3	1553139_s_at
PELO	1553140_at
LACC1	1553141_at
FLJ39653	1553145_at
C3orf30	1553146_at
RANBP3L	1553147_at
SNX13	1553148_a_at
KDM1B	1553150_at
ATP6V0D2	1553151_at
LHX4	1553156_at
CEP19	1553158_at
DNAH11	1553159_at
C19orf55	1553162_x_at
ADPRHL1	1553163_at
SYNRG	1553165_at
CDH24	1553166_at
SEPSECS	1553167_a_at
GRIK5	1553168_at
LRRN4	1553169_at
ZNF777	1553172_at
JPH2	1553174_at
PDE5A	1553175_s_at
SH2D1B	1553176_at
SSTR3	1553178_a_at
ADAMTS19	1553179_at
DDX31	1553181_at
UMODL1	1553183_at
RASEF	1553185_at
PARD3B	1553188_s_at
DST	1553191_at
ZNF441	1553192_at
NEGR1	1553194_at
FCRL3	1553196_a_at
DCAF4L2	1553197_at
STOX1	1553202_at
C20orf166-AS1	1553204_at
ARL10	1553207_at
RNFT2	1553209_at
ANKFN1	1553211_at
KRT78	1553212_at
CCDC7	1553214_a_at
ZNF41	1553216_at
ZNF512	1553218_a_at
AMMECR1	1553219_a_at
FAM117B	1553220_at
ZNF583	1553221_at
OXER1	1553222_at
LUZP1	1553224_at
ZNF75D	1553225_s_at
LINC00052	1553226_at
BRWD1	1553227_s_at
CCDC89	1553228_at
ZNF572	1553229_at
FAM82A1	1553232_at
ADAMTS18	1553234_at
PCDHAC1	1553235_at
HIPK4	1553238_a_at
FAM124A	1553239_at
NKAIN3	1553241_at
ITIH5	1553243_at
FANCB	1553244_at
SGK196	1553246_a_at
ZNF709	1553247_a_at
CCDC57	1553248_at
SMC1B	1553249_at
BRWD3	1553252_a_at
ASB16	1553253_at
MAGEE2	1553254_at
ERVV-1	1553255_at
GAL3ST3	1553257_at
FLJ30679	1553258_at
ALS2CR11	1553260_s_at
UTS2R	1553262_a_at
USH1G	1553263_at
SYN1	1553264_a_at
SLC23A3	1553265_at
CNOT6L	1553266_at
RHBDL3	1553268_at
DIP2B	1553271_at
SLC36A1	1553272_at
SNRNP48	1553274_a_at
ZNF560	1553276_at
RTTN	1553277_at
BTNL9	1553279_at
PUS10	1553280_at
PLCXD2	1553281_at
C21orf128	1553282_at
LMLN	1553284_s_at
RAD9B	1553285_s_at
ZNF555	1553286_at
NYAP1	1553288_a_at
SGK494	1553292_s_at
MRGPRX3	1553293_at
ABCA13	1553295_at
GPR128	1553296_at
CSF3R	1553297_a_at
C17orf77	1553298_at
DUSP5P	1553299_at
DGKH	1553300_a_at
TMEM182	1553301_a_at
C16orf46	1553303_at
LSM14B	1553304_at
CASP8	1553306_at
PLB1	1553310_at
C20orf197	1553311_at
SLC5A3	1553313_s_at
KIF19	1553314_a_at
SLFNL1	1553315_at
GPR82	1553316_at
RIBC1	1553318_at
OXGR1	1553319_at
CDC14C	1553320_s_at
SULT1C4	1553321_a_at
TEAD1	1553322_s_at
CATSPER2	1553323_a_at
POU5F2	1553325_at
RXFP2	1553326_at
BEND7	1553327_a_at
SLC18A2	1553328_a_at
C7orf45	1553329_at
MAB21L3	1553333_at
LOC285696	1553335_x_at
MIER3	1553336_a_at
SDE2	1553338_at
UROC1	1553341_at
PCDH15	1553344_at
TNRC6A	1553346_a_at
KCNA6	1553347_s_at
NFX1	1553348_a_at
ARID2	1553349_at
FAM123C	1553350_at
OTUD7A	1553351_at
ERVW-1	1553352_x_at
FLJ31958	1553354_a_at
LOC158696	1553357_at
FBXL18	1553359_at
DNAH6	1553362_at
C6orf195	1553363_at
PNPLA1	1553364_at
DEPDC4	1553365_at
COX6B2	1553367_a_at
FAM129C	1553369_at
EPHA10	1553371_at
WDR64	1553373_at
PRO2949	1553374_at
BTBD9	1553375_at
AXDND1	1553376_a_at
C17orf66	1553378_a_at
PARP15	1553380_at
ARHGAP42	1553383_at
LOC84931	1553385_at
MFSD2A	1553386_at
ATM	1553387_at
FAM26D	1553388_at
NPHP3	1553389_at
ATG9B	1553390_at
CXorf58	1553391_at
EFCAB3	1553392_at
TFAP2B	1553394_a_at
CD200R1	1553395_a_at
CCDC13	1553396_a_at
C17orf69	1553399_a_at
MRGPRX1	1553401_at
HFE	1553402_a_at
RLN3	1553403_at
CSMD1	1553405_a_at
MACF1	1553407_at
ADAMTS20	1553409_at
ABCC12	1553410_a_at
SALL3	1553411_s_at
AGBL4	1553412_at
FLJ13744	1553413_at
SLC17A8	1553415_at
C11orf44	1553417_at
CNTNAP5	1553418_a_at
SATB2-AS1	1553420_at
RBFOX1	1553422_s_at
SLFN13	1553423_a_at
C12orf40	1553424_at
WDR65	1553425_at
C5orf64	1553426_at
ADAMTS15	1553427_at
LY86-AS1	1553428_at
FLJ31713	1553429_at
EDARADD	1553430_a_at
CCDC171	1553433_at
CYP4Z2P	1553434_at
C18orf15	1553435_at
MUC19	1553436_at
KLHDC7A	1553437_at
C11orf72	1553438_at
CHST9-AS1	1553440_at
CNTNAP4	1553441_at
FER1L6-AS1	1553443_at
C1orf127	1553444_a_at
C6orf183	1553446_at
AGBL1	1553447_at
FLJ34503	1553448_at
LINC00304	1553449_at
CCDC79	1553451_at
MYO1H	1553452_at
ASB14	1553453_at
RPTN	1553454_at
LINC00269	1553457_at
VSTM4	1553458_at
CCDC150	1553459_at
C2orf61	1553460_at
FAM9B	1553461_at
FLJ40288	1553464_at
CES5A	1553465_a_at
CXorf59	1553466_at
FLJ32742	1553467_at
DNAH17	1553470_at
SLC35G3	1553471_at
FLJ32955	1553472_at
PRO1483	1553475_at
KIRREL3-AS3	1553478_at
TMEM145	1553479_at
C15orf32	1553482_at
TSGA10IP	1553483_at
LINC00477	1553484_at
CCDC140	1553485_at
C17orf78	1553486_a_at
TEKT5	1553488_at
KSR2	1553491_at
PAX1	1553492_a_at
TDH	1553493_a_at
LINC00615	1553497_at
SERPINA9	1553499_s_at
FBXL21	1553500_at
PALM2	1553502_a_at
MRGPRX4	1553504_at
A2ML1	1553505_at
CPO	1553506_at
GPR6	1553507_a_at
MDS2	1553508_at
RQCD1	1553510_s_at
GJD3	1553511_at
HOXC12	1553512_at
VNN3	1553513_at
MYEOV2	1553515_at
FERD3L	1553517_at
LINC00314	1553519_at
NLRP14	1553523_at
DGKB	1553524_at
NLRP13	1553525_at
NLRP8	1553526_at
NLRP9	1553527_at
TAF5	1553528_a_at
TAS1R2	1553529_at
ITGB1	1553530_a_at
PCSK6	1553531_at
ZNF341	1553532_a_at
JPH1	1553533_at
NLRP10	1553534_at
RANGAP1	1553535_a_at
MBNL2	1553536_at
KRT73	1553537_at
COX1	1553538_s_at
KRT74	1553539_at
SLC29A2	1553540_a_at
LMX1A	1553541_at
CCDC125	1553542_at
GPR101	1553544_at
ILDR1	1553545_at
PRO2012	1553546_at
VN1R2	1553549_at
VN1R5	1553550_at
ND2	1553551_s_at
TAAR8	1553552_at
TAS2R39	1553553_at
TAS2R38	1553555_at
TAS2R40	1553556_at
TAS2R41	1553558_at
TMEM171	1553559_at
VN1R4	1553560_at
TAS2R50	1553561_at
CD8B	1553562_at
MACROD2	1553564_at
DDAH1	1553565_s_at
PIANP	1553566_at
ATP6	1553567_s_at
HIST1H1T	1553568_a_at
COX2	1553569_at
CYGB	1553572_a_at
EFNA2	1553573_s_at
IFNE	1553574_at
ND6	1553575_at
SREK1IP1	1553581_s_at
THRSP	1553583_a_at
CXorf36	1553584_at
MAGEA5	1553585_a_at
FBXL19-AS1	1553586_at
POLE4	1553587_a_at
PDZK1IP1	1553589_a_at
BCRP3	1553591_at
TAL2	1553593_a_at
INSL3	1553594_a_at
SYCP3	1553599_a_at
TMIE	1553600_at
MUCL1	1553602_at
ATL2	1553603_s_at
ABCA13	1553604_at
LINC00189	1553607_at
KLHL35	1553611_s_at
ZNF354B	1553612_at
FOXC1	1553613_s_at
TRIM42	1553620_at
FSIP1	1553622_a_at
MGC15705	1553623_at
FAM98B	1553625_at
EFCAB13	1553626_a_at
FAM71B	1553629_a_at
C10orf107	1553630_at
SLC9B1	1553633_s_at
FLJ40852	1553634_a_at
TCTEX1D1	1553635_s_at
TMCO5A	1553636_at
PPARGC1B	1553639_a_at
XKR6	1553640_at
TSGA13	1553641_a_at
C9orf163	1553642_at
SYNE3	1553644_at
CCDC141	1553645_at
HDX	1553646_at
CDYL2	1553647_at
C18orf54	1553651_at
SYT14	1553654_at
CDC20B	1553655_at
TECTB	1553656_at
VWA3A	1553657_at
LOC150197	1553658_at
HUS1B	1553660_at
NPB	1553663_a_at
CCDC34	1553666_at
LRCH3	1553668_at
INTS4	1553670_at
ENAH	1553672_at
STK35	1553673_at
LRRIQ3	1553674_at
KLC4	1553675_at
TIPRL	1553677_a_at
ITGB1	1553678_a_at
VKORC1L1	1553679_s_at
PRF1	1553681_a_at
FBXL14	1553682_at
PPIL6	1553684_at
SP1	1553685_s_at
C18orf25	1553686_at
METTL6	1553688_at
SGOL1	1553690_at
B3GALNT2	1553691_at
CBR4	1553693_s_at
PIK3C2A	1553694_a_at
NLRX1	1553695_a_at
ZNF569	1553696_s_at
CCSAP	1553697_at
DUSP18	1553701_a_at
ZNF697	1553702_at
ZNF791	1553703_at
CHRM3	1553705_a_at
HTRA4	1553706_at
LINC00525	1553708_at
PRPF38A	1553709_a_at
FAM218A	1553710_at
RHEBL1	1553713_a_at
FAM195A	1553715_s_at
KCTD7	1553717_at
ZNF548	1553718_at
FAM123A	1553720_a_at
RNF152	1553721_at
GPR97	1553723_at
ZNF644	1553725_s_at
C6orf170	1553726_s_at
B4GALNT3	1553727_at
LRRC43	1553728_at
CEP89	1553732_s_at
AK7	1553734_at
ZFC3H1	1553736_at
IRAK2	1553739_at
LINC00337	1553741_at
METTL21A	1553743_at
OTOGL	1553746_a_at
MGC16025	1553747_at
FAM76B	1553749_at
SPATA25	1553752_at
NXNL1	1553755_at
GLIS3-AS1	1553756_at
IQCG	1553757_at
MCM9	1553759_at
PRR14L	1553761_at
AJUBA	1553764_a_at
KLHL32	1553765_a_at
DCBLD1	1553768_a_at
SLAMF9	1553769_at
GK5	1553772_at
FLJ31715	1553775_at
UBE2U	1553776_at
WBSCR27	1553778_at
LINC00638	1553780_at
ZC3HAV1L	1553781_at
RASGEF1B	1553785_at
C11orf45	1553787_at
C21orf58	1553789_a_at
KIAA1109	1553792_at
STOML3	1553794_at
LOC150622	1553796_at
FBXL13	1553798_a_at
FAM227B	1553799_at
C14orf126	1553801_a_at
SOX3	1553802_a_at
TEX34	1553803_at
C3orf49	1553805_at
NKX2-3	1553808_a_at
TMEM252	1553809_a_at
KIAA1524	1553810_a_at
FAM222A-AS1	1553811_at
TLE6	1553812_at
TCEANC	1553815_a_at
HECTD4	1553821_at
RTP1	1553822_at
C16orf11	1553826_a_at
NXPE1	1553828_at
